,CompanyName,Rating,TotalReviews,SalaryOffereByComapany,TotalInterviews,Benefits,PhotosOnSite
263,Indian Air Force,4.6,3.3k,5.3k,87,368,--
264,Sagility,3.9,3.3k,13.4k,262,75,85
265,GeBBS Healthcare Solutions,3.8,3.3k,11.5k,189,301,11
266,Canara HSBC Life Insurance,4.1,3.3k,6.3k,580,190,10
267,Tata AutoComp Systems,3.7,3.3k,11.4k,222,188,5
268,Jindal Stainless,4.1,3.3k,12k,337,212,12
269,UPL,4.1,3.3k,11.2k,228,308,2
270,PepsiCo,4.0,3.3k,14.4k,255,262,19
271,Ambuja Cements,3.9,3.2k,8.8k,259,321,6
272,Max Healthcare,4.0,3.2k,10.8k,201,294,26
273,Mankind Pharma,3.8,3.2k,9.9k,269,266,15
274,Titan Company,4.2,3.2k,10.1k,213,348,16
275,Allcargo Logistics,3.8,3.2k,6.8k,143,347,10
276,Amazon Transportation Services,4.2,3.2k,8.8k,264,254,23
277,Dilip Buildcon,3.9,3.2k,8k,196,305,26
278,S&P Global,3.9,3.2k,21.2k,339,226,--
279,Societe Generale Global Solution Centre,3.6,3.2k,23.7k,307,304,--
280,Walmart,3.4,3.2k,24.8k,450,334,12
281,MSN Laboratories,3.6,3.2k,9.9k,183,169,7
282,Quest Global,3.5,3.2k,22.3k,373,208,11
283,Varroc Group,3.6,3.2k,9.8k,228,242,5
284,Afcons Infrastructure,4.2,3.1k,8.8k,280,330,14
285,Ola Electric Mobility ,3.3,3.1k,9.8k,314,91,29
286,ESAF Small Finance Bank,3.6,3.1k,7.7k,181,112,23
287,Tata Electronics,3.8,3.1k,13.3k,296,95,6
288,Marpu Foundation ,4.9,3.1k,61,266,8,5
289,IDFC FIRST Bharat ,4.2,3.1k,5.1k,165,88,2
290,Torrent Pharmaceuticals,4.0,3.1k,10.3k,176,318,3
291,DS Group,4.0,3.1k,7.7k,236,229,7
292,Zepto,3.6,3.1k,11k,489,58,17
293,Bharat Financial Inclusion,3.7,3.1k,5.8k,130,189,25
294,Tata Elxsi,3.4,3.1k,24.1k,347,216,8
295,Square Yards,3.5,3.1k,9.7k,237,240,37
296,HDFC Sales,3.9,3.1k,8.3k,199,198,2
297,Suzlon Group,4.0,3k,8k,187,332,5
298,Zensar Technologies,3.7,3k,25.7k,286,250,24
299,Indus Towers,3.6,3k,9.4k,237,211,11
300,Fujitsu,3.8,3k,17.9k,214,200,19
301,Future Group,4.2,3k,6.2k,85,423,3
302,CMS IT Services,3.1,3k,9.2k,161,198,7
303,Eternal Limited,3.6,3k,15.6k,369,229,12
304,I Process Services,3.8,3k,5.5k,141,132,4
305,VVDN Technologies,3.6,3k,14.2k,269,142,12
306,ACC,3.9,3k,9.1k,239,278,5
307,IKS Health,3.5,3k,11.7k,276,243,72
308,Yazaki,3.9,3k,9.3k,197,273,2
309,Nokia,4.0,3k,17.4k,332,558,15
310,Shoppers Stop,3.9,3k,7k,150,326,17
311,Shree Cement,3.8,3k,10k,241,233,15
312,Apollo Tyres,4.0,2.9k,10.1k,156,332,7
313,Fiserv,2.8,2.9k,17.7k,203,325,11
314,Britannia,4.0,2.9k,8.6k,249,260,8
315,Landmark Group,3.8,2.9k,9.6k,180,276,9
316,Physicswallah,3.6,2.9k,9.5k,310,65,11
317,Exl India,3.5,2.8k,18.6k,137,181,1
318,Dalmia Bharat Cement,3.9,2.8k,5.7k,209,255,16
319,SRF,4.1,2.8k,9.3k,213,259,5
320,Kansai Nerolac Paints,3.8,2.8k,8.2k,198,199,7
321,ZS,3.0,2.8k,22.2k,538,278,23
322,Blue Dart Express Ltd,3.9,2.8k,6.9k,137,247,9
323,Nestlé,3.7,2.8k,10.3k,291,326,19
324,Exide Industries,3.4,2.8k,8.9k,223,250,6
325,Star Health & Allied Insurance,3.5,2.8k,10.7k,162,174,17
326,UnitedHealth,4.0,2.8k,13.5k,84,432,--
327,Foxconn,3.8,2.8k,12.1k,249,134,3
328,Shell,3.9,2.8k,14.4k,241,263,8
329,Micro Labs,3.6,2.7k,10k,158,214,4
330,KPMG Global Services,3.4,2.7k,24.6k,273,10,--
331,TVS Supply Chain Solutions,3.8,2.7k,8.6k,169,201,21
332,Flex,3.9,2.7k,15.5k,217,443,14
333,ElasticRun,3.6,2.7k,6.7k,280,230,45
334,KFintech,3.3,2.7k,11.4k,181,57,2
335,Care Health Insurance,3.5,2.7k,8.9k,168,176,2
336,Gallagher,3.6,2.7k,14.9k,282,132,1
337,Capita,3.5,2.7k,12.5k,169,332,3
338,Blue Star,4.0,2.7k,10k,203,255,18
339,Ajanta Pharma,3.9,2.7k,9.2k,172,226,10
340,G4S,4.0,2.7k,5.2k,137,254,15
341,Movate,3.1,2.7k,15.4k,298,11,24
342,Sonalika Tractors,3.5,2.7k,9.2k,178,187,4
343,Tata Advanced Systems,3.7,2.7k,13.3k,194,150,6
344,Whitehat jr,3.3,2.7k,8.8k,265,944,3
345,Photon Interactive,4.1,2.7k,7.7k,141,124,--
346,Voltas,4.0,2.7k,8.7k,178,263,1
347,NoBroker,3.0,2.6k,11.1k,288,365,25
348,Adani Power,3.7,2.6k,9.9k,331,179,10
349,ACT Fibernet,3.8,2.6k,7.9k,168,272,6
350,BlackBuck,3.7,2.6k,6.4k,218,249,13
351,DBS Bank,3.7,2.6k,13.4k,204,202,11
352,Foundever,3.3,2.6k,9.2k,191,211,14
353,Himalaya Wellness,3.9,2.6k,6k,155,267,9
354,IntouchCX,2.7,2.6k,10.7k,243,159,17
355,Domino's Pizza,3.9,2.6k,4.3k,143,408,16
356,Laurus Labs,4.3,2.6k,7.4k,163,221,11
357,Fortis Healthcare,4.0,2.6k,7.8k,197,149,3
358,BT Group,3.8,2.6k,12.1k,233,280,24
359,V-Mart,4.0,2.6k,4.6k,200,225,16
360,JCB,3.8,2.6k,10k,175,244,8
361,Sahrudaya Healthcare (Medicover Hospitals),4.3,2.6k,3.6k,147,1,4
362,Alldigi Tech,3.8,2.6k,7.6k,238,115,33
363,Northern Trust Operating Services,3.6,2.6k,17.9k,244,232,13
364,Sterlite Technologies,3.8,2.5k,10k,188,217,10
365,GAO Tek,4.4,2.5k,264,703,92,1
366,CorroHealth Infotech,3.6,2.5k,8.1k,289,18,18
367,Tractors and Farm Equipment,3.9,2.5k,8.5k,138,288,9
368,Adani Group,3.8,2.5k,11.8k,318,117,8
369,Bajaj Electricals,3.9,2.5k,7.2k,157,298,6
370,Sammaan Capital Limited,3.7,2.5k,5.8k,115,123,2
371,Parle Agro,3.9,2.5k,6.8k,153,221,9
372,ICICI Securities,3.9,2.5k,9.8k,200,198,4
373,Emcure Pharmaceuticals,3.6,2.5k,8.6k,133,251,13
374,Planet Spark,3.8,2.5k,3.8k,605,205,2
375,Biocon Limited,4.0,2.5k,11.6k,190,8,1
376,TaskUs,3.0,2.5k,10.2k,235,134,15
377,Hero FinCorp,3.9,2.5k,5.9k,125,133,2
378,Mahindra Holidays & Resorts,3.5,2.5k,6.1k,136,207,16
379,Cadila Pharmaceuticals,3.2,2.5k,8.2k,170,185,13
380,Intellect Design Arena,3.5,2.5k,14.1k,183,119,8
381,Mahindra Rural Housing Finance,4.0,2.5k,4.9k,108,188,6
382,Datamatics Global Services,3.4,2.5k,11.6k,184,188,5
383,McDonald's,3.8,2.5k,5k,162,413,6
384,Paras Hospital,4.1,2.5k,3.3k,106,133,43
385,Syngene International,3.7,2.5k,12.8k,192,225,16
386,Patanjali Ayurved,4.0,2.4k,6k,140,253,3
387,Bureau Veritas,3.8,2.4k,8.5k,149,195,12
388,Newgen Software Technologies,4.1,2.4k,11.7k,209,151,8
389,Aditya Birla Group,4.1,2.4k,10.2k,246,263,15
390,RMSI,3.5,2.4k,9.1k,199,193,4
391,Cholamandalam MS General Insurance,3.7,2.4k,6k,118,174,4
392,3i Infotech,3.5,2.4k,10.7k,171,154,3
393,Taj Hotels Resorts and Palaces,4.2,2.4k,5k,165,182,5
394,Info Edge,3.8,2.4k,11.6k,387,310,28
395,Statestreet HCL Services,3.4,2.4k,12.5k,221,203,--
396,Aavas Financiers ,3.9,2.4k,5.7k,127,144,8
397,Delhi Public School,3.7,2.4k,5.3k,164,265,11
398,Capgemini Engineering,3.3,2.4k,13.1k,407,143,4
399,Axis Direct,3.6,2.4k,4.7k,90,229,--
400,Lodha,4.2,2.4k,9.1k,185,189,9
401,Cybage,3.7,2.4k,17.3k,216,275,4
402,Straive,3.3,2.4k,10.7k,232,126,15
403,Kia India,3.9,2.4k,8.4k,183,174,14
404,Apollo Pharmacy,3.7,2.4k,7.2k,204,142,6
405,Sopra Steria,3.9,2.4k,14.3k,187,245,8
406,TCE,3.9,2.4k,10.1k,303,180,9
407,KocharTech,3.6,2.4k,3.8k,83,582,6
408,Xoriant,4.0,2.3k,11.7k,237,414,48
409,GVK Emergency Management and Research Institute,3.6,2.3k,4.8k,122,187,7
410,Akums Drugs & Pharmaceuticals Limited,4.2,2.3k,6.3k,335,157,22
411,Team Computers,3.6,2.3k,8.9k,210,131,1
412,SBI Securities,3.6,2.3k,7k,192,115,21
413,Sobha,3.8,2.3k,8.6k,168,233,9
414,Star Union Dai-ichi Life Insurance,3.8,2.3k,5.4k,144,105,23
415,Isgec Heavy Engineering,3.8,2.3k,7.1k,148,141,223
416,Bharat Petroleum,4.2,2.3k,7.5k,192,197,16
417,Endurance Technologies Limited,3.9,2.3k,8k,147,243,1
418,Eureka Forbes,3.6,2.3k,5.7k,94,238,5
419,BNP Paribas,3.7,2.3k,19.4k,224,186,8
420,Daikin Airconditioning India Pvt. Ltd.,4.2,2.3k,8k,219,160,2
421,Lifestyle,4.2,2.3k,6.8k,89,280,11
422,Panasonic Life Solutions India,3.9,2.3k,7.2k,100,119,6
423,Radisson Hotels,4.0,2.3k,5.3k,109,318,12
424,Myntra,3.8,2.3k,10.8k,370,320,44
425,AWL Agri Business,4.1,2.3k,7.1k,143,188,8
426,Unacademy,2.9,2.3k,10.3k,240,158,41
427,Bharti AXA Life Insurance,3.6,2.3k,5.3k,156,179,10
428,SBI General Insurance,3.5,2.3k,6.9k,137,137,6
429,Cisco,4.1,2.3k,19.4k,422,228,19
430,Meesho,3.7,2.2k,10.1k,453,317,13
431,Renault Nissan Technology & Business Centre India,3.6,2.2k,15.3k,157,215,--
432,ValueLabs,3.4,2.2k,16.4k,221,271,12
433,Coromandel International,4.1,2.2k,7.8k,129,225,3
434,Sify Technologies,3.6,2.2k,10.1k,150,163,4
435,Lava International,3.9,2.2k,4.4k,93,311,3
436,Allstate,3.7,2.2k,12.1k,157,190,6
437,Whirlpool,4.0,2.2k,7.9k,122,204,9
438,Indian Railways,4.2,2.2k,3.5k,116,164,18
439,Henry Harvin Education,3.9,2.2k,979,122,76,2
440,GlaxoSmithKline Pharmaceuticals,4.1,2.2k,6k,131,115,1
441,Shahi Exports,4.0,2.2k,6.9k,127,235,25
442,Bank of Baroda,3.6,2.2k,7.2k,128,158,15
443,Mercedes-Benz Research and Development India,3.5,2.2k,18.3k,210,201,7
444,Generali Central Life Insurance,3.4,2.2k,6.9k,123,174,7
445,Poonawalla Fincorp,3.6,2.2k,6.1k,88,142,--
446,JK Tyre,3.8,2.2k,7k,176,209,4
447,Spark Minda,3.8,2.2k,7.4k,165,47,18
448,Manipal Hospitals,4.0,2.2k,7.4k,142,146,4
449,FirstCry,3.5,2.2k,9.2k,219,77,13
